Total population,year,population
St. Vincent and the Grenadines,1800,25781.0
St.-Pierre-et-Miquelon,1800,1782.0
Samoa,1800,47300.0
San Marino,1800,5492.0
Sao Tome and Principe,1800,22731.0
Saudi Arabia,1800,2091000.0
Senegal,1800,1009886.0
Serbia,1800,2147197.0
Serbia and Montenegro,1800,
Serbia excluding Kosovo,1800,
Seychelles,1800,12522.0
Sierra Leone,1800,794264.0
Singapore,1800,30000.0
Slovak Republic,1800,2140651.0
Slovenia,1800,469664.0
Solomon Islands,1800,56998.0
Somalia,1800,991488.0
Somaliland,1800,
South Africa,1800,1440820.0
South Ossetia,1800,
Spain,1800,11549294.0
Sri Lanka,1800,1213000.0
Sudan,1800,3994154.0
Suriname,1800,80721.0
Svalbard,1800,
Swaziland,1800,86000.0
Sweden,1800,2354189.0
Switzerland,1800,1826051.0
Syria,1800,1337000.0
Taiwan,1800,
Tajikistan,1800,466629.0
Tanzania,1800,3019768.0
Thailand,1800,4665000.0
Timor-Leste,1800,137262.0
Togo,1800,445985.0
Tokelau,1800,1009.0
Tonga,1800,18658.0
Transnistria,1800,
Trinidad and Tobago,1800,60000.0
Tunisia,1800,862029.0
Turkey,1800,9773456.0
Turkmenistan,1800,367215.0
Turks and Caicos Islands,1800,3296.0
Tuvalu,1800,2499.0
Uganda,1800,2101397.0
Ukraine,1800,11215490.0
United Arab Emirates,1800,40153.0
United Kingdom,1800,12327466.0
United States,1800,6801854.0
Uruguay,1800,55000.0
USSR,1800,
Uzbekistan,1800,1919159.0
Wallis et Futuna,1800,3721.0
Vanuatu,1800,27791.0
Venezuela,1800,718000.0
West Bank and Gaza,1800,165944.0
West Germany,1800,
Western Sahara,1800,2788.0
Vietnam,1800,6551000.0
Virgin Islands (U.S.),1800,40000.0
North Yemen (former),1800,
South Yemen (former),1800,
Yemen,1800,2593000.0
Yugoslavia,1800,
Zambia,1800,747000.0
Zimbabwe,1800,1085814.0
Åland,1800,
South Sudan,1800,1027378.0
Curaçao,1800,
Sint Maarten (Dutch part),1800,
St. Martin (French part),1800,
Antarctica,1800,
Bouvet Island,1800,
British Indian Ocean Territory,1800,
Clipperton,1800,
French Southern and Antarctic Lands,1800,
Gaza Strip,1800,
Heard and McDonald Islands,1800,
Northern Marianas,1800,
South Georgia and the South Sandwich Islands,1800,
US Minor Outlying Islands,1800,
Virgin Islands,1800,
West Bank,1800,
Abkhazia,1810,
Afghanistan,1810,3280000.0
Akrotiri and Dhekelia,1810,
Albania,1810,423591.0
Algeria,1810,2595056.0
American Samoa,1810,8156.0
Andorra,1810,2654.0
Angola,1810,1567028.0
Anguilla,1810,2025.0
Antigua and Barbuda,1810,37000.0
Argentina,1810,534000.0
Armenia,1810,413326.0
Aruba,1810,19286.0
Australia,1810,342440.0
Austria,1810,3286650.0
Azerbaijan,1810,879960.0
Bahamas,1810,27350.0
Bahrain,1810,64474.0
Bangladesh,1810,19611269.0
Barbados,1810,81729.0
Belarus,1810,2355081.0
Belgium,1810,3283959.0
Belize,1810,25526.0
Benin,1810,636559.0
Bermuda,1810,9831.0
Bhutan,1810,89989.0
Bolivia,1810,1100000.0
Bosnia and Herzegovina,1810,851806.0
Botswana,1810,121000.0
Brazil,1810,4058652.0
British Virgin Islands,1810,6700.0
Brunei,1810,2128.0
Bulgaria,1810,2088223.0
Burkina Faso,1810,1665421.0
Burundi,1810,899097.0
Cambodia,1810,2090000.0
Cameroon,1810,1860054.0
Canada,1810,727603.0
Cape Verde,1810,55716.0
Cayman Islands,1810,2439.0
Central African Republic,1810,479444.0
Chad,1810,1432000.0
Channel Islands,1810,43908.0
Chile,1810,771447.0
China,1810,350542958.0
Christmas Island,1810,
Cocos Island,1810,
Colombia,1810,1206000.0
Comoros,1810,56346.0
"Congo, Dem. Rep.",1810,5163819.0
"Congo, Rep.",1810,314465.0
Cook Is,1810,16333.0
Costa Rica,1810,57584.0
Cote d'Ivoire,1810,1088530.0
Croatia,1810,1227886.0
Cuba,1810,470176.0
Cyprus,1810,184590.0
Czech Republic,1810,5516349.0
Czechoslovakia,1810,
Denmark,1810,1108146.0
Djibouti,1810,22848.0
Dominica,1810,19950.0
Dominican Republic,1810,89000.0
East Germany,1810,
Ecuador,1810,500000.0
Egypt,1810,4218711.0
El Salvador,1810,248000.0
Equatorial Guinea,1810,80377.0
Eritrea,1810,205010.0
Eritrea and Ethiopia,1810,
Estonia,1810,334136.0
Ethiopia,1810,2948990.0
Faeroe Islands,1810,13537.0
Falkland Is (Malvinas),1810,100.0
Fiji,1810,132682.0
Finland,1810,1070625.0
France,1810,30293172.0
French Guiana,1810,9899.0
French Polynesia,1810,63322.0
Gabon,1810,158227.0
Gambia,1810,103274.0
Georgia,1810,1072178.0
Germany,1810,23882461.0
Ghana,1810,2016034.0
Gibraltar,1810,9873.0
Greece,1810,2230659.0
Greenland,1810,9584.0
Grenada,1810,29409.0
Guadeloupe,1810,80726.0
Guam,1810,8736.0
Guatemala,1810,524190.0
Guernsey,1810,
Guinea,1810,983959.0
Guinea-Bissau,1810,218167.0
Guyana,1810,166034.0
Haiti,1810,723000.0
Holy See,1810,905.0
Honduras,1810,132182.0
"Hong Kong, China",1810,20000.0
Hungary,1810,3814221.0
Iceland,1810,61428.0
India,1810,171940819.0
Indonesia,1810,16537268.0
Iran,1810,6413820.0
Iraq,1810,1084941.0
Ireland,1810,4541676.0
Isle of Man,1810,23533.0
Israel,1810,209954.0
Italy,1810,19491674.0
Jamaica,1810,401000.0
Japan,1810,30645903.0
Jersey,1810,
Jordan,1810,217000.0
Kazakhstan,1810,2041282.0
Kenya,1810,2574000.0
Kiribati,1810,17876.0
North Korea,1810,4345000.0
South Korea,1810,9395000.0
United Korea (former),1810,
Kosovo,1810,
Kuwait,1810,81280.0
Kyrgyz Republic,1810,530343.0
Lao,1810,470000.0
Latvia,1810,590588.0
Lebanon,1810,332000.0
Lesotho,1810,276361.0
Liberia,1810,313543.0
Libya,1810,534730.0
Liechtenstein,1810,5802.0
Lithuania,1810,778655.0
Luxembourg,1810,127030.0
"Macao, China",1810,21325.0
"Macedonia, FYR",1810,391865.0
Madagascar,1810,1612106.0
Malawi,1810,737000.0
Malaysia,1810,287000.0
Maldives,1810,42378.0
Mali,1810,1403398.0
Malta,1810,134072.0
Marshall Islands,1810,5828.0
Martinique,1810,84039.0
Mauritania,1810,382696.0
Mauritius,1810,78310.0
Mayotte,1810,8219.0
Mexico,1810,6382317.0
"Micronesia, Fed. Sts.",1810,16416.0
Moldova,1810,712558.0
Monaco,1810,7789.0
Mongolia,1810,619000.0
Montenegro,1810,126582.0
Montserrat,1810,5230.0
Morocco,1810,2595056.0
Mozambique,1810,2038660.0
Myanmar,1810,3506000.0
Namibia,1810,229000.0
Nauru,1810,1834.0
Nepal,1810,3881000.0
Netherlands,1810,2293548.0
Netherlands Antilles,1810,
New Caledonia,1810,29432.0
New Zealand,1810,100000.0
Ngorno-Karabakh,1810,
Nicaragua,1810,219387.0
Niger,1810,1244861.0
Nigeria,1810,12100855.0
Niue,1810,4529.0
Norfolk Island,1810,
Northern Cyprus,1810,
Northern Mariana Islands,1810,3360.0
Norway,1810,918398.0
Oman,1810,318000.0
Pakistan,1810,13385672.0
Palau,1810,3875.0
Panama,1810,78842.0
Papua New Guinea,1810,754894.0
Paraguay,1810,143000.0
Peru,1810,1315575.0
Philippines,1810,1894389.0
Pitcairn,1810,
Poland,1810,9960687.0
Portugal,1810,3163489.0
Puerto Rico,1810,198271.0
Qatar,1810,14092.0
Reunion,1810,92744.0
Romania,1810,5915097.0
Russia,1810,31088398.0
Rwanda,1810,928368.0
St. Barthélemy,1810,
St. Helena,1810,1997.0
St. Kitts and Nevis,1810,17202.0
St. Lucia,1810,24000.0
St. Martin,1810,
St. Vincent and the Grenadines,1810,25781.0
St.-Pierre-et-Miquelon,1810,1782.0
Samoa,1810,47220.0
San Marino,1810,5492.0
Sao Tome and Principe,1810,22731.0
Saudi Arabia,1810,2091000.0
Senegal,1810,1009886.0
Serbia,1810,2147197.0
Serbia and Montenegro,1810,
Serbia excluding Kosovo,1810,
Seychelles,1810,12522.0
Sierra Leone,1810,794264.0
Singapore,1810,30000.0
Slovak Republic,1810,2140651.0
Slovenia,1810,469664.0
Solomon Islands,1810,56998.0
Somalia,1810,995738.0
Somaliland,1810,
South Africa,1810,1494779.0
South Ossetia,1810,
Spain,1810,11873298.0
Sri Lanka,1810,1213000.0
Sudan,1810,4047408.0
Suriname,1810,80721.0
Svalbard,1810,
Swaziland,1810,86000.0
Sweden,1810,2428185.0
Switzerland,1810,1904962.0
Syria,1810,1337000.0
Taiwan,1810,
Tajikistan,1810,466629.0
Tanzania,1810,3019768.0
Thailand,1810,4665000.0
Timor-Leste,1810,137262.0
Togo,1810,445985.0
Tokelau,1810,1007.0
Tonga,1810,18621.0
Transnistria,1810,
Trinidad and Tobago,1810,60000.0
Tunisia,1810,868499.0
Turkey,1810,9923007.0
Turkmenistan,1810,367215.0
Turks and Caicos Islands,1810,3296.0
Tuvalu,1810,2499.0
Uganda,1810,2101397.0
Ukraine,1810,11215490.0
United Arab Emirates,1810,40153.0
United Kingdom,1810,14106058.0
United States,1810,8294928.0
Uruguay,1810,55000.0
USSR,1810,
Uzbekistan,1810,1919159.0
Wallis et Futuna,1810,3721.0
Vanuatu,1810,27791.0
Venezuela,1810,718000.0
West Bank and Gaza,1810,165944.0
West Germany,1810,
Western Sahara,1810,2788.0
Vietnam,1810,6551000.0
Virgin Islands (U.S.),1810,40000.0
North Yemen (former),1810,
South Yemen (former),1810,
Yemen,1810,2593000.0
Yugoslavia,1810,
Zambia,1810,747000.0
Zimbabwe,1810,1085814.0
Åland,1810,
South Sudan,1810,1041076.0
Curaçao,1810,
Sint Maarten (Dutch part),1810,
St. Martin (French part),1810,
Antarctica,1810,
Bouvet Island,1810,
British Indian Ocean Territory,1810,
Clipperton,1810,
French Southern and Antarctic Lands,1810,
Gaza Strip,1810,
Heard and McDonald Islands,1810,
Northern Marianas,1810,
South Georgia and the South Sandwich Islands,1810,
US Minor Outlying Islands,1810,
Virgin Islands,1810,
West Bank,1810,
Abkhazia,1820,
Afghanistan,1820,3323519.0
Akrotiri and Dhekelia,1820,
Albania,1820,438671.0
Algeria,1820,2713079.0
American Samoa,1820,8142.0
Andorra,1820,2700.0
Angola,1820,1597530.0
Anguilla,1820,2064.0
Antigua and Barbuda,1820,37000.0
Argentina,1820,570719.0
Armenia,1820,423527.0
Aruba,1820,19555.0
Australia,1820,334002.0
Austria,1820,3391206.0
Azerbaijan,1820,901772.0
Bahamas,1820,27404.0
Bahrain,1820,64474.0
Bangladesh,1820,20122865.0
Barbados,1820,85456.0
Belarus,1820,2413420.0
Belgium,1820,3475782.0
Belize,1820,25556.0
Benin,1820,653348.0
Bermuda,1820,9808.0
Bhutan,1820,91144.0
Bolivia,1820,1121924.0
Bosnia and Herzegovina,1820,871970.0
Botswana,1820,121000.0
Brazil,1820,4582325.0
British Virgin Islands,1820,6700.0
Brunei,1820,2251.0
Bulgaria,1820,2186672.0
Burkina Faso,1820,1697947.0
Burundi,1820,917804.0
Cambodia,1820,2102468.0
Cameroon,1820,1874663.0
Canada,1820,879432.0
Cape Verde,1820,57062.0
Cayman Islands,1820,2491.0
Central African Republic,1820,485538.0
Chad,1820,1432000.0
Channel Islands,1820,44673.0
Chile,1820,820889.0
China,1820,380055273.0
Christmas Island,1820,
Cocos Island,1820,
Colombia,1820,1266351.0
Comoros,1820,57537.0
"Congo, Dem. Rep.",1820,5255223.0
"Congo, Rep.",1820,320596.0
Cook Is,1820,16533.0
Costa Rica,1820,63375.0
Cote d'Ivoire,1820,1108345.0
Croatia,1820,1257048.0
Cuba,1820,607664.0
Cyprus,1820,184788.0
Czech Republic,1820,5569896.0
Czechoslovakia,1820,
Denmark,1820,1177749.0
Djibouti,1820,23320.0
Dominica,1820,20166.0
Dominican Republic,1820,93078.0
East Germany,1820,
Ecuador,1820,522656.0
Egypt,1820,4318788.0
El Salvador,1820,256823.0
Equatorial Guinea,1820,81084.0
Eritrea,1820,212440.0
Eritrea and Ethiopia,1820,
Estonia,1820,342427.0
Ethiopia,1820,3063453.0
Faeroe Islands,1820,13773.0
Falkland Is (Malvinas),1820,100.0
Fiji,1820,134860.0
Finland,1820,1190807.0
France,1820,31549988.0
French Guiana,1820,10092.0
French Polynesia,1820,64123.0
Gabon,1820,161794.0
Gambia,1820,105337.0
Georgia,1820,1098744.0
Germany,1820,25507768.0
Ghana,1820,1990667.0
Gibraltar,1820,10021.0
Greece,1820,2347727.0
Greenland,1820,9757.0
Grenada,1820,29699.0
Guadeloupe,1820,82322.0
Guam,1820,12337.0
Guatemala,1820,594985.0
Guernsey,1820,
Guinea,1820,1007384.0
Guinea-Bissau,1820,222059.0
Guyana,1820,169103.0
Haiti,1820,739943.0
Holy See,1820,905.0
Honduras,1820,146889.0
"Hong Kong, China",1820,20928.0
Hungary,1820,4137998.0
Iceland,1820,62498.0
India,1820,176225709.0
Indonesia,1820,17236636.0
Iran,1820,6608508.0
Iraq,1820,1112536.0
Ireland,1820,5052432.0
Isle of Man,1820,23947.0
Israel,1820,209954.0
Italy,1820,20341608.0
Jamaica,1820,400825.0
Japan,1820,30993147.0
Jersey,1820,
Jordan,1820,219348.0
Kazakhstan,1820,2091782.0
Kenya,1820,2574000.0
Kiribati,1820,18014.0
North Korea,1820,4353556.0
South Korea,1820,9408016.0
United Korea (former),1820,
Kosovo,1820,
Kuwait,1820,81280.0
Kyrgyz Republic,1820,543453.0
Lao,1820,482066.0
Latvia,1820,605262.0
Lebanon,1820,338427.0
Lesotho,1820,281945.0
Liberia,1820,320479.0
Libya,1820,544295.0
Liechtenstein,1820,5905.0
Lithuania,1820,797987.0
Luxembourg,1820,129245.0
"Macao, China",1820,26077.0
"Macedonia, FYR",1820,401178.0
Madagascar,1820,1694950.0
Malawi,1820,737000.0
Malaysia,1820,303530.0
Maldives,1820,43038.0
Mali,1820,1438308.0
Malta,1820,136406.0
Marshall Islands,1820,5924.0
Martinique,1820,85728.0
Mauritania,1820,386926.0
Mauritius,1820,96755.0
Mayotte,1820,8322.0
Mexico,1820,6621314.0
"Micronesia, Fed. Sts.",1820,16641.0
Moldova,1820,730194.0
Monaco,1820,7941.0
Mongolia,1820,621483.0
Montenegro,1820,129599.0
Montserrat,1820,5370.0
Morocco,1820,2713079.0
Mozambique,1820,2129723.0
Myanmar,1820,3541573.0
Namibia,1820,229000.0
Nauru,1820,1852.0
Nepal,1820,3920333.0
Netherlands,1820,2407847.0
Netherlands Antilles,1820,
New Caledonia,1820,29910.0
New Zealand,1820,100000.0
Ngorno-Karabakh,1820,
Nicaragua,1820,229075.0
Niger,1820,1262280.0
Nigeria,1820,12238319.0
Niue,1820,4520.0
Norfolk Island,1820,
Northern Cyprus,1820,
Northern Mariana Islands,1820,3411.0
Norway,1820,995904.0
Oman,1820,320411.0
Pakistan,1820,13699962.0
Palau,1820,3927.0
Panama,1820,82788.0
Papua New Guinea,1820,767591.0
Paraguay,1820,155438.0
Peru,1820,1367155.0
Philippines,1820,1983383.0
Pitcairn,1820,
Poland,1820,10508375.0
Portugal,1820,3312025.0
Puerto Rico,1820,250914.0
Qatar,1820,14092.0
Reunion,1820,94632.0
Romania,1820,6390450.0
Russia,1820,31861526.0
Rwanda,1820,943716.0
St. Barthélemy,1820,
St. Helena,1820,2197.0
St. Kitts and Nevis,1820,17553.0
St. Lucia,1820,24000.0
St. Martin,1820,
St. Vincent and the Grenadines,1820,26117.0
St.-Pierre-et-Miquelon,1820,1817.0
Samoa,1820,47139.0
San Marino,1820,5588.0
Sao Tome and Principe,1820,23187.0
Saudi Arabia,1820,2103325.0
Senegal,1820,1028060.0
Serbia,1820,2198187.0
Serbia and Montenegro,1820,
Serbia excluding Kosovo,1820,
Seychelles,1820,12637.0
Sierra Leone,1820,808514.0
Singapore,1820,31761.0
Slovak Republic,1820,2161328.0
Slovenia,1820,480821.0
Solomon Islands,1820,57682.0
Somalia,1820,1015714.0
Somaliland,1820,
South Africa,1820,1577125.0
South Ossetia,1820,
Spain,1820,12333192.0
Sri Lanka,1820,1281602.0
Sudan,1820,4135488.0
Suriname,1820,82357.0
Svalbard,1820,
Swaziland,1820,86000.0
Sweden,1820,2591521.0
Switzerland,1820,1994147.0
Syria,1820,1348924.0
Taiwan,1820,
Tajikistan,1820,478168.0
Tanzania,1820,3048053.0
Thailand,1820,4712187.0
Timor-Leste,1820,141386.0
Togo,1820,456556.0
Tokelau,1820,1005.0
Tonga,1820,18584.0
Transnistria,1820,
Trinidad and Tobago,1820,61559.0
Tunisia,1820,887129.0
Turkey,1820,10118315.0
Turkmenistan,1820,376333.0
Turks and Caicos Islands,1820,3358.0
Tuvalu,1820,2536.0
Uganda,1820,2119892.0
Ukraine,1820,11496004.0
United Arab Emirates,1820,40153.0
United Kingdom,1820,16221883.0
United States,1820,10361646.0
Uruguay,1820,59668.0
USSR,1820,
Uzbekistan,1820,1966716.0
Wallis et Futuna,1820,3769.0
Vanuatu,1820,28098.0
Venezuela,1820,759249.0
West Bank and Gaza,1820,165944.0
West Germany,1820,
Western Sahara,1820,2882.0
Vietnam,1820,6719340.0
Virgin Islands (U.S.),1820,40000.0
North Yemen (former),1820,
South Yemen (former),1820,
Yemen,1820,2605438.0
Yugoslavia,1820,
Zambia,1820,747000.0
Zimbabwe,1820,1106634.0
Åland,1820,
South Sudan,1820,1063732.0
Curaçao,1820,
Sint Maarten (Dutch part),1820,
St. Martin (French part),1820,
Antarctica,1820,
Bouvet Island,1820,
British Indian Ocean Territory,1820,
Clipperton,1820,
French Southern and Antarctic Lands,1820,
Gaza Strip,1820,
Heard and McDonald Islands,1820,
Northern Marianas,1820,
South Georgia and the South Sandwich Islands,1820,
US Minor Outlying Islands,1820,
Virgin Islands,1820,
West Bank,1820,
Abkhazia,1830,
Afghanistan,1830,3448982.0
Akrotiri and Dhekelia,1830,
Albania,1830,457234.0
Algeria,1830,2880355.0
American Samoa,1830,8128.0
Andorra,1830,2835.0
Angola,1830,1686390.0
Anguilla,1830,2177.0
Antigua and Barbuda,1830,37000.0
Argentina,1830,686703.0
Armenia,1830,453507.0
Aruba,1830,20332.0
Australia,1830,348143.0
Austria,1830,3538286.0
Azerbaijan,1830,965887.0
Bahamas,1830,27558.0
Bahrain,1830,64474.0
Bangladesh,1830,20872777.0
Barbados,1830,96798.0
Belarus,1830,2584900.0
Belgium,1830,3751571.0
Belize,1830,25641.0
Benin,1830,702829.0
Bermuda,1830,9315.0
Bhutan,1830,94472.0
Bolivia,1830,1185846.0
Bosnia and Herzegovina,1830,931129.0
Botswana,1830,121000.0
Brazil,1830,5301068.0
British Virgin Islands,1830,6700.0
Brunei,1830,2632.0
Bulgaria,1830,2287551.0
Burkina Faso,1830,1792717.0
Burundi,1830,972428.0
Cambodia,1830,2137966.0
Cameroon,1830,1916391.0
Canada,1830,1202146.0
Cape Verde,1830,61014.0
Cayman Islands,1830,2645.0
Central African Republic,1830,503090.0
Chad,1830,1432000.0
Channel Islands,1830,46894.0
Chile,1830,969062.0
China,1830,402373519.0
Christmas Island,1830,
Cocos Island,1830,
Colombia,1830,1451312.0
Comoros,1830,61016.0
"Congo, Dem. Rep.",1830,5520718.0
"Congo, Rep.",1830,338459.0
Cook Is,1830,16734.0
Costa Rica,1830,72046.0
Cote d'Ivoire,1830,1165948.0
Croatia,1830,1342619.0
Cuba,1830,772812.0
Cyprus,1830,184986.0
Czech Republic,1830,5723332.0
Czechoslovakia,1830,
Denmark,1830,1264714.0
Djibouti,1830,24698.0
Dominica,1830,20786.0
Dominican Republic,1830,105490.0
East Germany,1830,
Ecuador,1830,591558.0
Egypt,1830,4662153.0
El Salvador,1830,283227.0
Equatorial Guinea,1830,83105.0
Eritrea,1830,234703.0
Eritrea and Ethiopia,1830,
Estonia,1830,366799.0
Ethiopia,1830,3407854.0
Faeroe Islands,1830,14457.0
Falkland Is (Malvinas),1830,100.0
Fiji,1830,137074.0
Finland,1830,1327905.0
France,1830,33174810.0
French Guiana,1830,10656.0
French Polynesia,1830,64933.0
Gabon,1830,172241.0
Gambia,1830,111354.0
Georgia,1830,1176832.0
Germany,1830,28016571.0
Ghana,1830,1920723.0
Gibraltar,1830,10450.0
Greece,1830,2537857.0
Greenland,1830,10260.0
Grenada,1830,30530.0
Guadeloupe,1830,86973.0
Guam,1830,17423.0
Guatemala,1830,671855.0
Guernsey,1830,
Guinea,1830,1076128.0
Guinea-Bissau,1830,233367.0
Guyana,1830,178030.0
Haiti,1830,789634.0
Holy See,1830,905.0
Honduras,1830,188905.0
"Hong Kong, China",1830,23754.0
Hungary,1830,4464317.0
Iceland,1830,65604.0
India,1830,182214537.0
Indonesia,1830,18460171.0
Iran,1830,6898130.0
Iraq,1830,1177768.0
Ireland,1830,5537192.0
Isle of Man,1830,25150.0
Israel,1830,209954.0
Italy,1830,21529667.0
Jamaica,1830,400332.0
Japan,1830,31330455.0
Jersey,1830,
Jordan,1830,226087.0
Kazakhstan,1830,2240213.0
Kenya,1830,2574000.0
Kiribati,1830,18407.0
North Korea,1830,4377749.0
South Korea,1830,9444785.0
United Korea (former),1830,
Kosovo,1830,
Kuwait,1830,81280.0
Kyrgyz Republic,1830,581987.0
Lao,1830,517587.0
Latvia,1830,648400.0
Lebanon,1830,357145.0
Lesotho,1830,298233.0
Liberia,1830,340777.0
Libya,1830,565776.0
Liechtenstein,1830,6205.0
Lithuania,1830,854817.0
Luxembourg,1830,135676.0
"Macao, China",1830,27437.0
"Macedonia, FYR",1830,428506.0
Madagascar,1830,1803292.0
Malawi,1830,737000.0
Malaysia,1830,354816.0
Maldives,1830,44948.0
Mali,1830,1540940.0
Malta,1830,143183.0
Marshall Islands,1830,6203.0
Martinique,1830,90652.0
Mauritania,1830,399076.0
Mauritius,1830,119544.0
Mayotte,1830,8618.0
Mexico,1830,6930661.0
"Micronesia, Fed. Sts.",1830,17289.0
Moldova,1830,782030.0
Monaco,1830,8383.0
Mongolia,1830,628530.0
Montenegro,1830,138454.0
Montserrat,1830,5782.0
Morocco,1830,2880355.0
Mozambique,1830,2288209.0
Myanmar,1830,3643584.0
Namibia,1830,229000.0
Nauru,1830,1903.0
Nepal,1830,4033123.0
Netherlands,1830,2619333.0
Netherlands Antilles,1830,
New Caledonia,1830,31296.0
New Zealand,1830,91723.0
